value;normdata_id;normdata_category;provider;docCount
"Abenteuerfilm";"4140759-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Amateurfilm";"";"";"Haus des Dokumentarfilms";"161"
"Animationsfilm";"";"";"Haus des Dokumentarfilms";"1"
"Antikriegsfilm";"4165687-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Bergfilm";"4477724-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Biopic";"4373947-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"7"
"Documentation/Report";"";"";"Technische Informationsbibliothek (TIB)";"118"
"Dokumentarfilm";"";"";"Haus des Dokumentarfilms";"3"
"Dokumentation";"";"";"Haus des Dokumentarfilms";"99"
"Drama";"4012899-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"76"
"Fantastischer Film";"4126326-1";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Fiction";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Heimatfilm";"4138226-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Horrorfilm";"4127415-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Kammerspielfilm";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Kinderfilm";"4163815-3";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Komödie";"4154364-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"19"
"Kriminalfilm";"4033175-1";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"7"
"Lehrfilm";"";"";"Haus des Dokumentarfilms";"2"
"Melodram";"4169388-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Musikfilm";"4170822-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"Märchenfilm";"4245679-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Operettenfilm";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Satire";"4051752-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"6"
"Schwarze Komödie";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Science-Fiction";"1098433076";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Spielfilm";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Theaterfilm";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Thriller";"4185351-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Unterhaltung";"";"";"Haus des Dokumentarfilms";"5"
"WIRTSCHAFTSFILM";"";"";"Haus des Dokumentarfilms";"2"
"Western";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Wirtschaftsfilm > Imagefilm";"";"";"Haus des Dokumentarfilms";"2"
"Wirtschaftsfilm >Werbefilm";"";"";"Haus des Dokumentarfilms";"1"
