value;normdata_id;normdata_category;provider;docCount
"(RAD)";"";"";"Haus des Dokumentarfilms";"1"
"1. Schultag";"";"";"Haus des Dokumentarfilms";"1"
"1. Weltkrieg";"";"";"Haus des Dokumentarfilms";"10"
"16. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"17. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"18. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"19. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"9"
"1900er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"1910er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"6"
"1915 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"1920er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"1928";"";"";"Haus des Dokumentarfilms";"1"
"193";"";"";"Haus des Dokumentarfilms";"1"
"1930";"";"";"Haus des Dokumentarfilms";"1"
"1930er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"1933";"";"";"Haus des Dokumentarfilms";"1"
"1933 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"1940er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"10"
"1941 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"1945 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"1950er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"1950er Jahre";"";"";"Haus des Dokumentarfilms";"1"
"1957";"";"";"Haus des Dokumentarfilms";"1"
"1960er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"5"
"1968er";"4394007-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"1970er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"1980er";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"2. Weltkrieg";"";"";"Haus des Dokumentarfilms";"144"
"20. Jahrhundert";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"6"
"30er Jahre";"";"";"Haus des Dokumentarfilms";"1"
"35 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"42 Deutschland";"";"";"Haus des Dokumentarfilms";"1"
"80. Geburtstag";"";"";"Haus des Dokumentarfilms";"1"
"A1-Ring";"";"";"Haus des Dokumentarfilms";"1"
"ADAC";"";"";"Haus des Dokumentarfilms";"5"
"AN Arbeitnehmer Maschinenbau- und Umweltschutzanlagen GmbH";"";"";"Haus des Dokumentarfilms";"1"
"ASS Spielkartenfabrik";"";"";"Haus des Dokumentarfilms";"1"
"AVUS";"";"";"Haus des Dokumentarfilms";"1"
"AWO";"";"";"Haus des Dokumentarfilms";"1"
"Aach";"";"";"Haus des Dokumentarfilms";"1"
"Aachen";"";"";"Haus des Dokumentarfilms";"2"
"Aalborg";"";"";"Haus des Dokumentarfilms";"1"
"Aalen";"";"";"Haus des Dokumentarfilms";"3"
"Abakus";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Abbruch";"";"";"Haus des Dokumentarfilms";"5"
"Abessinien";"";"";"Haus des Dokumentarfilms";"1"
"Abfahrtslauf";"";"";"Haus des Dokumentarfilms";"1"
"Abfall";"";"";"Haus des Dokumentarfilms";"1"
"Abfalldeponie";"";"";"Haus des Dokumentarfilms";"1"
"Abgeordneter";"";"";"Haus des Dokumentarfilms";"1"
"Abitur";"4049194-8";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Abo (Finnland)";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Abriss";"";"";"Haus des Dokumentarfilms";"4"
"Abrissarbeiten";"";"";"Haus des Dokumentarfilms";"1"
"Abschied";"";"";"Haus des Dokumentarfilms";"2"
"Abschied von einem getöteten Schwein";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Abschlussball";"";"";"Haus des Dokumentarfilms";"1"
"Absoluter Film";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Absturz";"";"";"Haus des Dokumentarfilms";"1"
"Abu Dhabi";"";"";"Haus des Dokumentarfilms";"1"
"Abwasser";"";"";"Haus des Dokumentarfilms";"2"
"Accessoires";"";"";"Technische Informationsbibliothek (TIB)";"18"
"Accra";"";"";"Haus des Dokumentarfilms";"1"
"Achalm";"";"";"Haus des Dokumentarfilms";"2"
"Achensee";"";"";"Haus des Dokumentarfilms";"1"
"Achterbahn";"";"";"Haus des Dokumentarfilms";"1"
"Achtziger Jahre";"";"";"Haus des Dokumentarfilms";"1"
"Acker";"";"";"Haus des Dokumentarfilms";"1"
"Ackerbau";"";"";"Haus des Dokumentarfilms, Technische Informationsbibliothek (TIB)";"4"
"Ackerbau / Ackerbaugeräte";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ackerbau / Maniok";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Ackerbau / Venezuela";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Adel";"4000464-8";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Adelboden";"";"";"Haus des Dokumentarfilms";"1"
"Adenau";"";"";"Haus des Dokumentarfilms";"7"
"Adenauer, Konrad";"";"";"Haus des Dokumentarfilms";"2"
"Admiral";"4141435-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Adolf";"";"";"Haus des Dokumentarfilms";"1"
"Adoption";"4000522-7";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Adria";"";"";"Haus des Dokumentarfilms";"7"
"Advent";"";"";"Haus des Dokumentarfilms";"1"
"Aetna";"";"";"Haus des Dokumentarfilms";"1"
"Affe";"4000666-9";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Affäre";"4167616-6";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"16"
"Afghanistan";"";"";"Haus des Dokumentarfilms";"8"
"Africa";"";"";"Technische Informationsbibliothek (TIB)";"23"
"African American";"";"";"Deutsche Kinemathek - Museum für Film und Fernsehen";"4"
"Afrika";"";"";"Haus des Dokumentarfilms";"88"
"Afrikaner";"4133380-9";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Agava";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Agave";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Agavefasern";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Agentur für Arbeit";"";"";"Haus des Dokumentarfilms";"1"
"Agitation";"4445390-5";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"3"
"Agra";"";"";"Haus des Dokumentarfilms";"1"
"Agrar- und Forstwissenschaft";"";"";"Technische Informationsbibliothek (TIB)";"15"
